"","X","aproovitykk_id","B02_kevad1","B02_kevad2","B02_sygis","B03_kevad1","B03_kevad2","B03_sygis","B04_kevad1","B04_kevad2","B04_sygis","B05_kevad1","B05_kevad2","B05_sygis","B06_kevad1","B06_kevad2","B06_sygis","B07_kevad1","B07_kevad2","B07_sygis","B08_kevad1","B08_kevad2","B08_sygis","B11_kevad1","B11_kevad2","B11_sygis","B12_kevad1","B12_kevad2","B12_sygis","B02_vahe_kevad","B03_vahe_kevad","B04_vahe_kevad","B05_vahe_kevad","B06_vahe_kevad","B07_vahe_kevad","B08_vahe_kevad","B11_vahe_kevad","B12_vahe_kevad","X21","X42","X43","X44","X45","X48","X51","X61","X64","X77","X999","cl","weight","muld","ARV_VMA","ARV_VKU","ARV_VKS","ARV_VXX"
"22",43,35347,-0.596934011146482,-0.537720388494728,-0.655179128747308,-0.539408221902588,-0.926522597733792,-0.74953844156786,-0.813829351184919,-0.728796352680338,-0.484861666907458,-0.633298938964647,-0.754209786316692,-0.63631728769959,-0.00333877267440481,-0.4934908470911,-0.474251136452832,0.106357913188867,-0.398420950436038,-0.369886621337457,0.0687888223153607,-0.491545368035737,-0.523144414175993,-0.850441498348547,-1.12424447434119,-0.802010010871454,-0.864164934314486,-1.08228775424024,-0.849805449156714,0.305075227800133,-0.239627576229634,0.416289781075069,-0.00300976849323061,-0.619323090810659,-0.531163056239918,-0.677843179350786,0.0757741618072194,0.276792314392929,0,0,1,0,0,0,0,0,0,0,0,"cl",60,43,0.09,0.3,0.6,0.01
"23",48,35360,-0.618863474920631,-0.0875057096050709,0.252291641511836,-0.624132054306521,-0.359319729182941,0.0553973976895628,-0.619461365726058,0.254920079723243,0.303154202467568,-0.549539407316956,-0.184043954519436,-0.0652500165538094,-0.140648107537872,-1.03939585057042,-0.775774958243241,-0.0767693498861641,-1.05127967658528,-0.843370350621661,-0.267119947365626,-1.04310333017571,-0.927699024851752,-0.435078366858979,-0.252425391449225,-0.410509486502668,-0.587139207727273,-0.1112295943492,-0.260267890382397,0.69323650353389,0.563433880748987,0.917736391122905,0.547731401624643,-1.23401875939306,-1.24529407071619,-1.21780250847523,0.471482219646501,0.773369691174904,0,0,0,0,0,0,0,1,0,0,0,"MA",100,61,1,0,0,0
"24",51,35384,-0.426665362351068,-0.43065247362188,0.728563462639003,-0.421706894683727,-0.620276023489062,0.473834624036889,-0.334856054993972,-0.341441044395774,1.31273874936359,-0.0780042661822154,-0.13986136238798,0.221450794786623,0.267095956096976,-0.206842945614529,-0.421990994764388,0.253785276600648,-0.217388072224446,-0.418792326785917,-0.0140567013542385,-0.0820222730404238,0.1314222049205,0.15562078588366,-0.196550833001319,0.785441877222269,-0.0113598126978304,-0.268549891114297,0.981597467762891,0.180910963547564,-0.0645781336239211,0.140433383448744,-0.0553147958220116,-0.401063037635114,-0.375389435517689,-0.0994702767470189,-0.553238840575093,-0.234873347222765,0,0,0,1,0,0,0,0,0,0,0,"cl",65,44,0.65,0,0.35,0
"26",54,35565,-0.428835970508524,0.0826118699660007,0.397510470782903,-0.600325319353628,-0.298720958308093,-0.350798197463056,-0.636815718625182,-0.225540562826632,-0.436880686789672,-0.939885415129292,-0.680572132765133,-0.874845571898233,-0.779954284927037,-0.831735370834548,-0.736523778864752,-0.903949247211319,-0.76951459317513,-0.706434375367991,-0.684058181732121,-0.611945618131749,-0.439488579654863,-1.01224113250005,-0.835276964058095,-0.881926391127568,-0.971854047216733,-0.715418657816396,-0.797809502595076,0.595268962412633,0.597254912806124,0.581583348701749,0.508841075421633,-0.635797816587455,-0.540931420581986,-0.432767984509767,0.76442858265568,0.781832647382558,0,0,0,0,0,0,0,0,1,0,0,"cl",60,64,0.6,0.2,0.15,0.05
"27",56,35591,-0.565849225462624,0.101507643599054,0.202067418937028,-0.835758186665834,-0.631248922721706,-0.474163736255878,-0.792886931010426,-0.137353633808451,-0.193109997049011,-1.10793628497755,-0.857302501292889,-0.889700536215359,-1.01090782544875,-1.32094778935452,-1.29493722417716,-1.01521393448625,-1.2247101242161,-1.26986088807865,-1.14875309164375,-1.36205197659724,-1.37838059174847,-1.18152589986966,-1.24330905968461,-1.20522571721476,-1.04183170651374,-0.789410215674439,-0.840783646253965,0.779443004892452,0.577436204548763,0.830585853342847,0.535424336370524,-1.12979908294606,-1.04602521823485,-1.16289879369298,0.532473883517098,0.817047049541701,0,1,0,0,0,0,0,0,0,0,0,"cl",55,42,0.55,0.4,0.05,0
"29",62,70030,0.0186631074664985,0.238101667382573,0.633873233179266,0.599250908074335,0.220895510223885,0.405985733365158,-0.20773402981916,-0.379051958470839,0.156093251460051,0.551300151497525,-0.266097339908422,0.285539355131082,1.58922129676897,1.57355902022407,1.4430007569219,1.65930354842832,1.87613124903645,1.5959588079433,1.98026579308848,1.82584881133134,1.82076663702489,0.758561407403112,0.483484160749242,1.08988332859307,0.462378546510453,0.0040932166846798,0.649104683403934,0.167954578328541,-0.687354235433529,-0.0369878666082713,-1.07680121190487,1.1429915534172,1.55689707309724,1.32368463621593,-0.763868531859765,-0.687347243514112,0,0,1,0,0,0,0,0,0,0,0,"KX1",100,43,0,0,0,1
"30",65,70207,-0.339560005681832,0.91921724841181,0.571070766678729,-0.491632101594606,0.169217772078263,-0.0842801453948837,-0.610625082191529,0.402839631020553,0.0600795618345568,-0.856923593303796,-0.591154982019767,-0.69718019864922,-0.398378870146909,-1.0613721896825,-0.856266043424142,-0.435090564996089,-1.07907606339625,-0.810857619065609,-0.521929553920552,-0.88373235875415,-0.842526867173684,-0.903674050666179,-0.55719004210059,-0.693882988407861,-0.83792690975446,-0.323612993924176,-0.499190185669645,1.15616564900619,0.977277290312782,1.01711931605524,0.498256999303271,-1.1258708028339,-1.12246700428467,-0.873843592860891,0.935182908027829,0.949079529799164,0,0,0,0,0,1,0,0,0,0,0,"MA",89,48,0.89,0.06,0.05,0
"31",67,70214,-0.184814999983515,0.959492539045923,0.640035122662609,-0.24480791960248,0.304651276171363,0.0699485750884456,-0.474158081829373,0.454595892521069,0.190594374603107,-0.548475794217319,-0.180888055083063,-0.442269010952854,-0.333565821230224,-1.05755021766449,-0.914671798343522,-0.320850886087028,-1.07551242406285,-0.996294939747732,-0.61208519274651,-0.906418260846818,-1.00190381658783,-0.809613777181367,-0.618764933246712,-0.758414488231313,-0.753449792278355,-0.348417911793122,-0.454834128091827,0.997577986729573,0.746594527289009,0.895029318133767,0.549946673369393,-1.1552126502025,-1.16807197153808,-0.855278225648861,0.677521307915196,0.799536183056071,0,0,0,0,0,1,0,0,0,0,0,"MA",80,48,0.8,0.09,0.11,0
"32",69,70230,0.568078970048034,-0.0543405084423553,0.558427301412948,0.667762221155725,-0.159117122786178,0.274910427306179,0.417702011443809,-0.503002763647175,0.0901983647776311,0.702333211742295,-0.0325607814956484,0.341776005765434,1.53140683998514,1.60477179171828,1.66721844637095,1.44748414377494,1.93314947839451,1.87775402916852,1.17284493395629,1.8028071677103,1.87716365670328,0.797366218559475,0.602879584350848,0.978847501653857,0.609859786490985,0.0569674109113043,0.507109868037762,-0.744361658944222,-1.2439704197428,-0.864555061814999,-1.01329675519506,1.21273856765466,1.71885539786963,1.72488936897888,-0.676020624523328,-0.858222305130307,0,0,1,0,0,0,0,0,0,0,0,"cl",75,43,0,0,0.75,0.25
"33",72,70284,-0.828905985006838,-0.334970763716705,-1.01109992072004,-0.573488301392013,-0.448326275967277,-0.760000562155304,-0.595653042547611,-0.34805815526526,-0.503703524036946,-0.423235351656768,-0.632181674716471,-0.360863806487841,-0.137985599660713,-0.403037509292443,-0.374889579508976,-0.134616409522336,-0.471119192867931,-0.379012043472095,-0.115681380130632,-0.325392086592991,-0.488195737756623,-0.350090021020672,-0.335440022973961,-0.521789484819612,-0.51229173450344,-0.390949302770885,-0.551853024369209,0.753855282067552,0.378336740620738,0.44224781603388,-0.151925258066282,-0.434533587571783,-0.514256271801597,-0.362607834003964,0.201962209792716,0.399154083978887,0,0,0,0,0,0,0,0,0,0,1,"cl",52,999,0.47,0.01,0.52,0
