"","aproovitykk_id","kp","satel","B02","B03","B04","B05","B06","B07","B08","B11","B12","B2","B3","B4","B5","B6","B7","B9","muld","MA","KU","KS","MUU","21","31","37","42","43","44","45","48","51","53","57","61","63","64","77","999"
"75",34235,2015-09-30,"S2",937,737,481,842,1951,2425,2376,1199,505,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",34235,2016-04-27,"S2",897,689,564,832,1393,1626,1635,1210,651,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",34235,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",34235,2018-08-23,"S2",814,643,402,641,2057,2799,2650,1205,466,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",34235,2018-09-19,"S2",927,710,456,731,2009,2624,2535,1268,481,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",34235,2017-05-02,"S2",878,682,563,803,1343,1596,1647,1257,671,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",34235,2017-05-05,"S2",997,808,713,948,1528,1755,1758,1347,810,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",34235,2017-08-30,"S2",864,691,412,693,2306,3113,2917,1289,496,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86",34235,2017-09-24,"S2",925,722,476,775,1988,2398,2484,1254,511,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88",34235,2016-05-10,"S2",879,772,492,937,1955,2231,2097,1242,583,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",34235,2018-05-27,"S2",869,762,431,808,2781,3412,3455,1395,568,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93",34235,2018-05-30,"S2",760,650,348,747,2788,3496,3393,1286,522,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",34235,2018-06-09,"S2",736,629,340,722,2782,3492,3389,1262,518,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",34235,2018-05-10,"S2",802,688,441,812,1731,1963,1961,1157,546,NA,NA,NA,NA,NA,NA,NA,21,0,8,72,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",34237,2015-09-30,"S2",898,654,399,616,1261,1573,1686,748,355,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"99",34237,2016-04-27,"S2",857,639,462,756,1273,1411,1365,880,461,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"100",34237,2016-05-10,"S2",855,713,457,721,1714,1813,1823,1043,564,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"101",34237,2015-08-24,"S2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"103",34237,2017-05-05,"S2",983,799,668,896,1365,1546,1585,1241,756,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"105",34237,2017-08-30,"S2",834,640,367,558,1886,2372,2220,989,370,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"106",34237,2017-05-02,"S2",837,638,480,750,1236,1591,1456,1125,650,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"108",34237,2015-08-04,"S2",732,579,316,541,1901,2535,2477,1076,411,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"109",34237,2018-05-30,"S2",757,619,342,634,2211,2606,2540,1117,458,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"111",34237,2018-05-27,"S2",844,712,402,772,2258,2702,2597,1181,496,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"113",34237,2018-09-19,"S2",895,661,396,629,1634,2004,1947,926,341,NA,NA,NA,NA,NA,NA,NA,42,0,40,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
