"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"182",34280,2018-05-10,"LC08",7988,7351,6471,12494,8533,6604,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"184",34280,2018-05-12,"LC08",8220,7501,6476,13266,8783,6605,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"185",34280,2018-05-26,"LC08",7981,7196,6256,15206,8509,6302,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"187",34280,2018-05-28,"LC08",8285,7458,6426,16119,9090,6620,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"190",34280,2018-08-23,"LC08",8066,7218,6458,13728,8057,6178,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"193",34288,2015-06-12,"LC08",8197,7413,6496,12224,8040,6371,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"195",34288,2015-08-08,"LC08",8494,7555,6632,11811,7468,6030,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"200",34288,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"203",34288,2017-06-17,"LC08",8516,7637,6706,12556,8268,6531,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"206",34288,2018-05-10,"LC08",7987,7093,6399,10249,7528,6262,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"208",34288,2018-05-12,"LC08",8335,7462,6652,11680,8271,6618,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"209",34288,2018-05-26,"LC08",8118,7212,6405,11464,7553,6221,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"211",34288,2018-05-28,"LC08",8417,7534,6667,12568,8336,6548,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"214",34288,2018-08-23,"LC08",8068,7195,6462,10587,7132,5924,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"217",34423,2015-06-12,"LC08",8180,7657,6421,16998,9488,6749,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"219",34423,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"224",34423,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"227",34423,2017-06-17,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"230",34423,2018-05-10,"LC08",8198,7452,6907,10980,9408,7534,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"232",34423,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"233",34423,2018-05-26,"LC08",8144,7516,6599,13620,9313,6861,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"235",34423,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"238",34423,2018-08-23,"LC08",8031,7329,6514,12698,8548,6427,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"241",34437,2015-06-12,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"243",34437,2015-08-08,"LC08",8447,7769,6777,14654,8830,6571,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"248",34437,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"251",34437,2017-06-17,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"254",34437,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"256",34437,2018-05-12,"LC08",8322,7609,6894,11582,8860,7032,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"257",34437,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
