"","aproovitykk_id","kp","satel","B2","B3","B4","B5","B6","B7","muld","MA","KU","KS","MUU","21","37","42","43","44","45","48","51","53","61","64","77","999"
"161",34274,2018-05-26,"LC08",-0.857853694134505,-0.491860095365909,-0.745161147037526,1.35789095680259,0.203264006412336,-0.21745347841444,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"163",34274,2018-05-28,"LC08",-0.482865940912141,-0.0900989369653983,-0.786572033859219,1.99700684755333,0.646749868629925,-0.216703920753336,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"166",34274,2018-08-23,"LC08",-0.148467312648026,0.00607996185597667,-0.329887389941123,1.52713084661704,0.451727284277854,-0.0455340428633835,42,0,14,27,59,0,0,1,0,0,0,0,0,0,0,0,0,0
"169",34280,2015-06-12,"LC08",-0.863605241091401,-0.866133830507543,-0.776855910227517,0.027066574240477,-0.401631262221755,-0.801321526206521,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"171",34280,2015-08-08,"LC08",0.74937817834094,0.00181032418435577,-0.0534157301578974,0.28154227000121,0.104690689579172,-0.154978439620268,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"176",34280,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"179",34280,2017-06-17,"LC08",0.673540051938045,-0.0101272589892861,0.112522889071252,0.0432531272732568,-0.448063832793033,-0.472687775223572,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"182",34280,2018-05-10,"LC08",-0.935823029331712,-0.235173110806665,-0.683040198172458,0.508233490805335,-0.383727192557094,-0.612765701327033,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"184",34280,2018-05-12,"LC08",-0.839214892879933,-0.516567453578701,-0.98274107387657,0.167131334484875,-0.517461727487038,-0.810248148206896,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"185",34280,2018-05-26,"LC08",-1.178850623664,-1.00592770039665,-0.77084428728094,0.266038297934128,-0.450603577753801,-0.675423510985172,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"187",34280,2018-05-28,"LC08",-0.733489436978703,-0.88094178009902,-0.720748037701421,0.304018803405691,-0.343501365551927,-0.615430464615063,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"190",34280,2018-08-23,"LC08",-0.0791967216556491,-0.258398378878948,-0.218351536850271,0.460138304529392,-0.164438089742408,-0.35418451633774,43,0,13,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"193",34288,2015-06-12,"LC08",-0.394234887311641,-0.927478120170892,-0.294312596140407,-1.31429908143516,-1.35388004173754,-1.07943060242507,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"195",34288,2015-08-08,"LC08",0.295899032650921,-0.249722266260892,-0.175423620009873,-1.36585367483153,-1.52492960757885,-1.40244861326335,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"200",34288,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"203",34288,2017-06-17,"LC08",-0.255554870827933,-0.85392973740907,-0.403561632533907,-1.36116704347626,-1.36130215870718,-0.968392632116844,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"206",34288,2018-05-10,"LC08",-0.943063958345025,-1.34975733306767,-0.907086049967292,-1.44817415820653,-1.29263408589131,-1.11409724662928,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"208",34288,2018-05-12,"LC08",-0.110897360904072,-0.679233481562575,-0.465604096638853,-0.954801222336863,-0.958307171017049,-0.791652682626019,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"209",34288,2018-05-26,"LC08",-0.243178722695049,-0.935021823840686,-0.345645632139983,-1.26763762154252,-1.2964728747265,-0.79907541977927,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"211",34288,2018-05-28,"LC08",0.0733959649916918,-0.547030357442602,-0.133207923848476,-1.10290854149678,-0.995027919280649,-0.716873260226527,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"214",34288,2018-08-23,"LC08",-0.0638032569906765,-0.403231755948074,-0.198072290833752,-1.41425966789639,-1.23176575073256,-0.922280315341265,51,80,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"217",34423,2015-06-12,"LC08",-0.550691671904895,0.433249759634289,-0.6526368392744,0.540764545504437,0.371847408498824,-0.106048835660145,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"219",34423,2015-08-08,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"224",34423,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"227",34423,2017-06-17,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"230",34423,2018-05-10,"LC08",0.584772063464047,0.201156371551326,0.673681904362921,-0.811143427058347,0.407609654873192,0.750504290284344,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"232",34423,2018-05-12,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"233",34423,2018-05-26,"LC08",-0.0656059531680954,0.412189830722635,0.207968724218041,-0.383991100326149,0.260776040202321,0.177927316371626,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"235",34423,2018-05-28,"LC08",NA,NA,NA,NA,NA,NA,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"238",34423,2018-08-23,"LC08",-0.348582353292669,0.440580093063353,0.0655579073809889,-0.154516235934969,0.402110971388582,0.202728294496425,48,8,2,90,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"241",34437,2015-06-12,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"243",34437,2015-08-08,"LC08",-0.223942914847393,1.67270538928493,1.08822952488559,0.0427317901788402,0.326232064422172,0.600166710003434,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"248",34437,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"251",34437,2017-06-17,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"254",34437,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"256",34437,2018-05-12,"LC08",-0.193228907996996,-0.0661076837772031,0.245459247063008,-1.02412618486431,-0.451162705706157,-0.199458624896551,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"257",34437,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"259",34437,2018-05-28,"LC08",-0.0610849353367073,0.612872479153377,0.290991162501783,-0.472941073630002,-0.459289904278252,-0.216703920753336,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"262",34437,2018-08-23,"LC08",-1.1721327128687,-0.195427345370633,-0.0966760607511595,-0.209417418190038,0.00402660053279456,0.0618226435624796,77,75,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"265",34439,2015-06-12,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"267",34439,2015-08-08,"LC08",-1.08665933835523,-0.0610728234269563,-0.218997866385579,-0.106896352780404,0.0394515117112945,0.163367064632861,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"272",34439,2016-06-14,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"275",34439,2017-06-17,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"278",34439,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"280",34439,2018-05-12,"LC08",-0.218561691717895,-0.166209854844203,0.22195302082493,-1.0899141595077,-0.251404614106621,-0.102190035704271,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"281",34439,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"283",34439,2018-05-28,"LC08",-0.183340299271615,0.669988906713027,0.0935191740283869,-0.50622237381919,-0.129206159550968,-0.0321343898491444,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"286",34439,2018-08-23,"LC08",-1.17982944520119,-0.384340445895579,-0.522540227098049,-0.0524716471782643,-0.0248200930074799,-0.0119850783553013,77,60,12,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0
"289",35077,2015-06-12,"LC08",-1.27775555325001,-0.894017598536338,-0.944073890356714,1.62722409743638,0.761566245672368,0.0175551982147663,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"291",35077,2015-08-08,"LC08",-0.378789452400082,-1.03126995800148,-0.881326411296305,1.6366183328937,1.34695336814667,0.689007315841517,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"296",35077,2016-06-14,"LC08",-1.38708786524803,-1.00162448506832,-0.718453889885749,0.644433752464171,0.475304060473571,0.0921961428434929,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"299",35077,2017-06-17,"LC08",-0.470408071717565,-0.709963437773467,-0.63711813136252,0.724275031166747,0.279814238851412,-0.192415830819781,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"302",35077,2018-05-10,"LC08",NA,NA,NA,NA,NA,NA,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"304",35077,2018-05-12,"LC08",-0.839214892879933,0.200831439068129,-0.245233225656871,1.79414576114944,1.38368424773614,0.711719188566422,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"305",35077,2018-05-26,"LC08",NA,NA,NA,NA,NA,NA,37,0,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0
