"","x","y","kp","B2","B3","B4","B5","B6","B7","satel","muld","21","42","43","44","45","48","51","53","61","64","999","37","77"
"85",669412.50000001,6460262.49999977,"2018-05-12",9429,9379,8789,19660,14138,10245,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"87",669412.50000001,6460262.49999977,"2017-06-17",9463,9563,8551,21006,13093,9525,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"90",669412.50000001,6460287.49999977,"2018-05-12",9689,9803,9415,18759,14867,10711,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"92",669412.50000001,6460287.49999977,"2017-06-17",9491,9594,8838,19493,13522,10150,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"93",669412.50000001,6460287.49999977,"2018-05-10",9365,9355,9198,16960,14545,10848,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"94",669412.50000001,6460287.49999977,"2018-05-26",8835,8831,7580,20584,11993,8463,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"95",669412.50000001,6460287.49999977,"2018-05-28",9075,9124,7816,21323,12527,8489,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"96",669412.50000001,6460287.49999977,"2018-08-23",8509,8122,7196,14088,11046,8445,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"97",669412.50000001,6460312.49999977,"2018-08-23",8509,8122,7196,14088,11046,8445,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"98",669412.50000001,6460312.49999977,"2017-06-17",9491,9594,8838,19493,13522,10150,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"100",669412.50000001,6460312.49999977,"2018-05-26",8835,8831,7580,20584,11993,8463,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"101",669412.50000001,6460312.49999977,"2018-05-28",9075,9124,7816,21323,12527,8489,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"102",669412.50000001,6460312.49999977,"2018-05-10",9365,9355,9198,16960,14545,10848,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"103",669412.50000001,6460312.49999977,"2018-05-12",9689,9803,9415,18759,14867,10711,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"106",669412.50000001,6460337.49999977,"2018-05-10",9294,9280,9026,16593,14479,11182,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"107",669412.50000001,6460337.49999977,"2017-06-17",9243,9407,8155,23505,11327,8396,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"109",669412.50000001,6460337.49999977,"2018-08-23",8862,8563,8596,13934,13793,10126,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"110",669412.50000001,6460337.49999977,"2018-05-12",9728,9702,9462,17197,14855,11642,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
"111",669412.50000001,6460337.49999977,"2018-05-26",9319,9247,9006,19187,14204,11376,"LC08",43,0,0,1,0,0,0,0,0,0,0,0,0,0
